bar_index,engine_state,resolver_state,category,reason_code
270,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
281,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
282,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
285,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
293,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
294,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
301,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
306,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
312,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
313,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
314,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
316,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
317,DISPLACEMENT,RANGE,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
318,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
319,SHADOW_PENDING,RANGE,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
320,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
330,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
335,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
336,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
337,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
343,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
344,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
345,DISPLACEMENT,RANGE,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
349,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
350,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
365,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
366,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
367,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
368,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
369,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
389,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
390,RANGE,DISPLACEMENT,B,False-positive narrative from pipeline flags / sticky dwell 
392,SWEEP,SHADOW_PENDING,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
393,SWEEP,SHADOW_PENDING,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
397,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
400,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
401,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
402,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
406,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
407,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
409,DISPLACEMENT,SWEEP,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
410,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
411,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
412,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
413,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
417,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
421,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
422,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
424,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
425,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
426,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
432,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
433,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
437,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
440,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
441,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
442,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
465,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
468,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
469,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
470,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
482,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
484,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
485,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
490,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
500,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
501,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
502,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
510,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
513,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
528,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
529,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
554,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
555,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
556,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
558,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
572,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
573,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
577,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
580,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
581,DISPLACEMENT,RANGE,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
586,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
589,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
590,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
597,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
601,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
628,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
629,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
630,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
639,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
640,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
641,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
645,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
646,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
650,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
664,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
665,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
666,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
676,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
677,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
678,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
680,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
681,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
684,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
686,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
687,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
690,RANGE,SWEEP,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
711,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
712,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
713,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
715,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
716,SWEEP,RANGE,B,SWEEP detector geometry: engine HTF-range sweep vs pipeline 
717,DISPLACEMENT,RANGE,B,DISPLACEMENT entry requires engine-aligned SWEEP funnel + sa
720,SHADOW_PENDING,RANGE,B,SHADOW_PENDING timing depends on HTF-reset displacement memo
721,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
722,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
723,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
724,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
725,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
726,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
727,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
728,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
729,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
730,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
731,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
732,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
733,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
734,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
735,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
736,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
737,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
738,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
739,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
740,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
741,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
742,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
743,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
744,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
745,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
746,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
747,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
748,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
749,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
750,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
751,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
752,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
753,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
754,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
755,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
756,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
757,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
758,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
759,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
760,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
761,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
762,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
763,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
764,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
765,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
766,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
767,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
768,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
769,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
770,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
771,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
772,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
773,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
774,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
775,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
776,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
777,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
778,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
779,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
780,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
781,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
782,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
783,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
784,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
785,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
786,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
787,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
788,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
789,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
790,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
791,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
792,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
793,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
794,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
795,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
796,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
797,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
798,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
799,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
800,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
801,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
802,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
803,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
804,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
805,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
806,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
807,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
808,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
809,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
810,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
811,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
812,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
813,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
814,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
815,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
816,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
817,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
818,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
819,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
820,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
821,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
822,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
823,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
824,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
825,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
826,EXPANSION,SWEEP,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
827,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
828,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
829,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
830,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
831,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
832,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
833,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
834,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
835,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
836,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
837,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
838,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
839,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
840,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
841,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
842,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
843,EXPANSION,RANGE,B,EXPANSION long-dwell requires prior DISPLACEMENT/shadow entr
