script_path,script_name,folder,intent,status_hints,claim_class_or_authority,primary_inputs,primary_outputs,related_episode_or_id,last_mtime,notes
scripts/analysis/crt_state_transition_audit_4m.py,crt_state_transition_audit_4m.py,analysis,"Read-only CRT state-transition audit for the 4-month XAUUSD window. Answers: how does the *code* decide SWEEP / DISPLACEMENT / EXPANSION / RETEST, and what did those predicates look like on two real episodes? Episodes (from trail_4m_gate0): PASS — RETEST 2026-02-04T09:30 → EXECUTION → TRADE_OPENED SHORT → STOPPED FAIL — RETEST 2026-02-23T17:45 → FILTER_REJECTED off_session:OFF_SESSION No behavioral changes.",READ-ONLY,,config_layer.production_config; results/runtime_benchmarks/window_search_xauusd/,results/runtime_benchmarks/window_search_xauusd/,CRT; XAUUSD,2026-07-20T02:38:07+05:30,
scripts/analysis/crt_threshold_authority_census.py,crt_threshold_authority_census.py,analysis,"crt_threshold_authority_census.py ================================== READ-ONLY census of every source that can supply a CRTConfig field's value, and what the real production resolver actually resolves it to. v3 (2026-08-31, Phase E0 / CR-1): corrects a v2 defect that still missed a FIFTH authority for one specific field. The six sources (five value-supplying layers + the resolver's separate authority) CODE -- the CRTConfig dataclass default (src/config_layer/state_identity.py:136).",READ-ONLY,,dataclass,,Phase E0; Phase E; Phase E1; Phase D; Phase E2; XAUUSD,2026-08-31T11:31:55+05:30,
scripts/analysis/crt_xauusd_runtime_trace.py,crt_xauusd_runtime_trace.py,analysis,Observational CRT IN/OUT runtime trace for XAUUSD (canonical backtest path). Behavior-neutral: wraps CRTEngine.process_candle AFTER the real call returns; appends JSONL only. No formula/config/RNG/execution-order changes.,,,dataclasses; config_layer.config_builder; config_layer.crt_engine_v2; config_layer.production_config; config/RNG/execution-order; data/mt5/XAUUSD_M15.csv,results/crt_xauusd_trace_run,CRT; XAUUSD,2026-07-19T04:22:34+05:30,
scripts/analysis/f048_decision_probe.py,f048_decision_probe.py,analysis,"f048_decision_probe.py — OBSERVATION-ONLY empirical measurement for the F-048 decision. HISTORICAL NOTE (F-048 RESOLVED 2026-07-24): this probe was written to measure the earlier rr-semantic *shim* (DecisionEngine._economic_rr_from_fusion, since DELETED). F-048 was resolved by REMOVING the RR gate from DecisionEngine entirely — it is now semantic-approval only, and economic reward:risk is owned by UltronRiskGate.",READ-ONLY; probe,,config_layer.production_config; data/mt5/XAUUSD_M15.csv,,XAUUSD,2026-07-24T10:58:07+05:30,
scripts/analysis/feature_dag_rolling_certification.py,feature_dag_rolling_certification.py,analysis,"feature_dag_rolling_certification.py — SERIES-level certification of the first-class rolling indicators FM-040..FM-046 (READ-ONLY). Rolling indicators (true_range/atr/ema_fast/ema_slow/rsi_14/swings) are windowed — no scalar float->float form exists — so they are certified by SERIES parity (an independent, causal, float64 recompute ≡ the production pipeline column) + PIT prefix-invariance, NOT the scalar derived_math parity battery. This probe supplies that evidence for the L1 promotion step of the bottom-up certification program.",READ-ONLY; probe; certification; parity,,,,BNBUSDT,2026-07-12T19:48:27+05:30,
scripts/analysis/feature_dag_structural_certification.py,feature_dag_structural_certification.py,analysis,"feature_dag_structural_certification.py — L3 swing-structural family certification (READ-ONLY). Certifies the four swing-derived structural detection flags computed together in feature_pipeline.compute_structure_liquidity from the same causal (FC1-A) swing references: higher_high · lower_low · break_of_structure · liquidity_sweep TWO independent oracles, BOTH compared to the real FeaturePipeline columns by EXACT integer equality on shared post-warmup rows: 1. FORMULA-PARITY oracle (centered reconstruction) — replicates the pipeline's centered rolling max/min → shift(SWING_WINDOW) → ffill → ...",READ-ONLY; certification; PARITY,,,,BNBUSDT,2026-07-13T02:14:57+05:30,
scripts/analysis/feature_math_decision_flip_probe.py,feature_math_decision_flip_probe.py,analysis,"feature_math_decision_flip_probe.py — Gate-2 Step 7c (READ-ONLY). Answers the narrow causal question the score-drift probe could NOT: *does canonicalizing GD-001/GD-002 (body_ratio) change actual system DECISIONS, how often, and in which direction?* — measured at the REAL `EngineRunner.run()` fusion/decision boundary (decision ∈ {execute, reject, HOLD}), not the intermediate CRT score. No P&L (that is a separate causal layer).",READ-ONLY; FROZEN; frozen; probe,,config_layer.production_config; config/pipeline,,CRT; Gate-2; BNBUSDT,2026-07-08T07:23:06+05:30,
scripts/analysis/feature_math_drift_probe.py,feature_math_drift_probe.py,analysis,"feature_math_drift_probe.py — Gate-2 differential probe (READ-ONLY). Measures the real output drift of the two Gate-2-eligible grandfather divergences (GD-001 `body_ratio`, GD-002 `wick_size`) — the ONLY pins that are `same_quantity` + `non_equivalent` + `decision_reachable` in Matrix v1 (docs/analysis/feature-math-divergence-adjudication.md). Built AFTER the matrix froze; it targets the VERIFIED consumer chain, not an assumed one: live_engine_hook `_build_ohlcv_and_auxiliary` (body/total_wick) → features[""body_ratio""] → crt_engine.compute → scoring_engine.compute_scores s_breakout (:40) → ...",READ-ONLY; frozen; probe,,,,CRT; Gate-2; BNBUSDT,2026-07-12T00:56:25+05:30,
scripts/analysis/feature_semantic_adjudication_pass_a.py,feature_semantic_adjudication_pass_a.py,analysis,"FEATURE SEMANTIC ADJUDICATION — PASS A (read-only). Targets: centered-swing PIT, volume T-003 identity, disp/retest formula authority, volatility_regime PIT. Frozen XAUUSD Phase-1 candidate only.",READ-ONLY; Frozen,,data_ingestion.xauusd_phase1_candidate,,Phase-1; XAUUSD,2026-07-10T20:52:26+05:30,
scripts/analysis/fm021_retest_depth_certification.py,fm021_retest_depth_certification.py,analysis,M10 / F-054-RD — retest_depth GATED production composition certification probe. TARGET_FEATURE = retest_depth TARGET_IDENTITY = GATED_PRODUCTION_COMPOSITION COMPONENT_FORMULA_IDENTITY = FM-021 (on-gate kernel only — NOT the full series) PRODUCTION_BEHAVIOR_CHANGED = NO,probe; certification,,,,,2026-07-14T11:42:18+05:30,
scripts/analysis/fm027_displacement_retrace_certification.py,fm027_displacement_retrace_certification.py,analysis,M9 / F-054-DR — FM-027 displacement_retrace independent certification probe. Certifies exactly one feature: displacement_retrace (FM-027). Descriptive identity only — PRODUCTION_BEHAVIOR_CHANGED = NO.,probe; certification,,,,,2026-08-01T00:13:42+05:30,
scripts/analysis/gd004_disp_rescale_probe.py,gd004_disp_rescale_probe.py,analysis,"gd004_disp_rescale_probe.py — GD-004 identity-closure characterization probe (READ-ONLY). Characterizes the AS-WIRED quantity behind lint pin GD-004 before its registry closure: scoring_engine.compute_scores:31 disp_strength = move / atr sole caller crt_engine.compute:23 move = features[""disp_strength""] (pipeline FM-020) atr = features[""atr""] (pipeline, close-relative) Static adjudication (this probe is the empirical check): pipeline atr = atr_14_raw / close (feature_pipeline.py:511-515) FM-020 = clip(body_size / (atr * close), 0, 3) = body_size / atr_14_raw AS-WIRED quantity = FM-020 / atr...",READ-ONLY; probe,,,,BNBUSDT,2026-07-11T11:23:01+05:30,
scripts/analysis/hour_of_day_certification.py,hour_of_day_certification.py,analysis,M11 — hour_of_day independent certification probe. Pure same-bar transform: timestamp → wall-clock hour → int8. No TZ conversion.,probe; certification,,,,,2026-07-14T11:45:47+05:30,
scripts/analysis/ledger_parity.py,ledger_parity.py,analysis,"ledger_parity.py ================= F-057 acceptance gate (target-strategy-architecture.md sec13 item4 / sec14.A last item). Runs the SAME corpus through two BacktestRunner construction styles and asserts the resulting metrics ledgers are identical: ARM ""governed"" — crt_config explicitly loaded via load_prod_config_from_registry(), mirroring what the backtest_v2 CLI does. ARM ""programmatic"" — crt_config left None on BacktestConfig, so BacktestRunner.__init__'s internal fallback resolves it.",parity,,config_layer.production_config; data/XAUUSD_W2026-03-23-to-2026-05-21.csv,,XAUUSD,2026-07-29T10:15:32+05:30,
scripts/analysis/mature_semantic_audit.py,mature_semantic_audit.py,analysis,"mature_semantic_audit.py ========================= Read-only EVIDENCE EXTRACTOR for the mature-bar semantic audit (XAUUSD M15). Runs the STANDARD production path -- `FeaturePipeline.run()` INCLUDING `finalize()` -- and emits every value the audit cites, for a window of fully-mature bars. This script makes NO judgments: it extracts, verifies primitive geometry against the immutable candle_math scalars, and writes an evidence table.",READ-ONLY,,,,XAUUSD,2026-08-01T11:29:34+05:30,
scripts/analysis/p001_excursion_probe.py,p001_excursion_probe.py,analysis,p001_excursion_probe.py — uncapped forward excursion on the CRT envelope populations. PROBE P-001. READ-ONLY.,READ-ONLY; PROBE; probe; DESCRIPTIVE_ONLY; certification,DESCRIPTIVE_ONLY,data/mt5/XAUUSD_W2026-07-06-to-2026-08-07.csv,,CRT,2026-09-06T00:42:45+05:30,
scripts/analysis/phase1_duplicate_formula_identity_closure.py,phase1_duplicate_formula_identity_closure.py,analysis,"Phase-1 duplicate implementation + formula identity closure. Deterministic artifact generator + structural validators. Does NOT promote corpus authority, retrain, or start PIT remediation.",,,data_ingestion.xauusd_phase1_candidate,,Phase-1,2026-07-10T22:08:50+05:30,
scripts/analysis/phase1_resolver_replay_evidence.py,phase1_resolver_replay_evidence.py,analysis,"phase1_resolver_replay_evidence.py — frozen Phase-1 four-arm replay. STANDING CONTRACT (do not deviate) ---------------------------------- Unit=ENTRY · Corpus=Phase-1 · Horizon=H20 · Cost=SEM-015 TIMEOUT Control=Always-Long (stride H20) Four directional sources (separate event generators, not parent/child): 1. Engine-Atlas = EXP entry + atlas direction (mostly DISP→EXP; 6 SHADOW_EXPANSION_CONFIRMED) 2.",frozen; SHADOW; shadow; No economic; parity,,config_layer.crt_engine_v2; config_layer.production_config,results/analysis/phase1_resolver_replay/<run_id>/; results/analysis/phase1_resolver_replay/scoreboard.LATEST.json,L-003; SEM-015; Phase-1; SHADOW; shadow,2026-09-10T00:37:40+05:30,
scripts/analysis/phase1_resolver_replay_sample_acquisition.py,phase1_resolver_replay_sample_acquisition.py,analysis,"phase1_resolver_replay_sample_acquisition.py — Phase-1 sample acquisition (same object). STANDING CONTRACT (unchanged — do not widen the unit) ------------------------------------------------------ Unit=ENTRY · Corpus=Phase-1 · Horizon=H20 · Cost=SEM-015 TIMEOUT Control=Always-Long (stride H20) · Engine=EXP entry + atlas direction Resolver-Memory = SHADOW→EXP + pending_displacement_dir (strict_memory) Resolver-TrendBias = SHADOW→EXP + trend_bias sign Outputs ONLY: n, coverage %, expectancy, PF, win rate Interpret Cases A–D only. economic_claims_allowed=false by default.",SHADOW; economic_claims_allowed=false; parity,economic_claims_allowed=false,docs/governance/dataset_identity_registry.json; data/mt5/,,SEM-015; Phase-1; PHASE-1; SHADOW; XAUUSD,2026-09-09T23:27:02+05:30,
scripts/analysis/phase1_run15a_quantity_role_adjudication.py,phase1_run15a_quantity_role_adjudication.py,analysis,"Phase 1 RUN 1.5A — Quantity role adjudication only (142 RUN-1 records). Does not expand the denominator, does not define canonical formulas, does not modify production feature code. python scripts/analysis/phase1_run15a_quantity_role_adjudication.py",,,,,Phase 1,2026-07-20T01:32:20+05:30,
scripts/analysis/phase1_run1_feature_truth.py,phase1_run1_feature_truth.py,analysis,Phase 1 RUN 1 — Legacy baseline verification (1A) + feature universe census (1B). Read-only w.r.t. production feature formulas / model enablement / artifacts.,READ-ONLY,,data_ingestion.xauusd_phase1_candidate,,Phase 1,2026-07-19T03:13:23+05:30,
scripts/analysis/phase1_shadow_create_economic_census.py,phase1_shadow_create_economic_census.py,analysis,"phase1_shadow_create_economic_census.py — 69-row CREATE economics, not restore-loop. Object: HTF_CHANGED_WHILE_DISPLACEMENT pending-memory CREATE (n=69). Do not optimize SHADOW_PENDING→EXPANSION (6/6 restore).",Probe; probe; DESCRIPTIVE_ONLY; economic_claims_allowed=false,DESCRIPTIVE_ONLY; economic_claims_allowed=false,data/mt5/XAUUSD_M15.csv,results/analysis/phase1_resolver_replay/event_census/memory_subsystem.json; results/analysis/phase1_resolver_replay/event_census/memory_create_expire.json; results/analysis/phase1_resolver_replay/memory_subsystem_probe_run; results/research/xauusd_mt5_cost_calibration,p001,2026-09-10T02:41:36+05:30,
scripts/analysis/phase1_shadow_memory_create_expire_mine.py,phase1_shadow_memory_create_expire_mine.py,analysis,Mine prior memory_subsystem probe artifacts -> create/expire census. Descriptive only. economic_claims_allowed=false.,probe; DESCRIPTIVE_ONLY; economic_claims_allowed=false,DESCRIPTIVE_ONLY; economic_claims_allowed=false,,results/analysis/phase1_resolver_replay/event_census/memory_subsystem.json; results/analysis/phase1_resolver_replay/event_census/structure_context.json; results/analysis/phase1_resolver_replay/event_census/memory_create_expire.json; results/analysis/phase1_resolver_replay/event_census/memory_create_expire.md,,2026-09-10T01:29:18+05:30,
scripts/analysis/phase1_shadow_memory_subsystem_probe.py,phase1_shadow_memory_subsystem_probe.py,analysis,"phase1_shadow_memory_subsystem_probe.py ======================================= MEASURE-ONLY probe (no src/ edits): census Phase-1 XAUUSD shadow displacement memory funnel under locked object: Unresolved HTF displacement memory preserved through RANGE, reactivated by matching sweep (sweep.dir == pending_dir) before TTL expiry → shadow-resume EXPANSION (strength skipped). economic_claims_allowed=false. No population expansion.",MEASURE-ONLY; probe; shadow; economic_claims_allowed=false,economic_claims_allowed=false,config_layer.crt_engine_v2; config_layer.production_config,,Phase-1; shadow; XAUUSD,2026-09-10T00:51:47+05:30,
scripts/analysis/phase1_shadow_memory_timing_race_mine.py,phase1_shadow_memory_timing_race_mine.py,analysis,phase1_shadow_memory_timing_race_mine.py DESCRIPTIVE ONLY. economic_claims_allowed=false. No TTL flip.,probe; DESCRIPTIVE_ONLY; economic_claims_allowed=false; No economic,DESCRIPTIVE_ONLY; economic_claims_allowed=false,,,,2026-09-10T01:50:50+05:30,
scripts/analysis/pit_phaseC_feature_certification.py,pit_phaseC_feature_certification.py,analysis,"pit_phaseC_feature_certification.py — PIT Phase C: empirical certification of ALL 38 canonical features (READ-ONLY). PIT Phases A/B fixed the two known-leaking families (FC1-A centered swings → causal delayed publication; FC1-D volatility_regime → rolling causal). The surface-closure audit is a STATIC synthesis; this probe supplies the missing EMPIRICAL half over the whole vector, per the review sequence (""audit remaining configured canonical features for prefix invariance, future dependence, global-fit dependence, warmup, missing-value behavior""): 1.",READ-ONLY; probe; certification,,,,Phase C; Phases; Phase-C; BNBUSDT,2026-07-11T17:38:15+05:30,
scripts/analysis/rr_confidence_probe.py,rr_confidence_probe.py,analysis,"rr_confidence_probe.py — Track 1 (READ-ONLY) empirical probe for the RR-fusion confidence gate. Purpose (see docs/implementation_plan / plan file): the RR-fusion confidence gate confidence = exp(-0.5 * d_sq); bypass to Gaussian if confidence < confidence_bypass_threshold is HYPOTHESISED to be mis-specified for its dimensionality — d_sq is a Mahalanobis distance over ~27 effective dims (38 canonical features minus 11 zero_indices), whose in-distribution E[d_sq] ~ 27, so confidence ~ exp(-13.5) ~ 1e-6 << 0.3 for essentially every input, INCLUDING the model's own training data. DECISIVE TEST: ...",READ-ONLY; probe,,config_layer.rr.rr_pattern_miner; config_layer.rr.rr_fusion,results/rr_confidence_probe/,BNBUSDT,2026-07-05T15:42:42+05:30,
scripts/analysis/run_crt_local_math_parity_audit.py,run_crt_local_math_parity_audit.py,analysis,CRT-local math parity audit (OBSERVATION_ONLY measurement). Compares CRT Candle/EngineState quantities vs FeaturePipeline / candle_math. Does NOT change CRT production behavior or authorize migration.,parity; PARITY,,config_layer.crt_engine_v2,,CRT,2026-07-14T16:37:11+05:30,
scripts/analysis/run_crt_trace_workflow.py,run_crt_trace_workflow.py,analysis,"run_crt_trace_workflow.py ========================== One command for the SURVEY -> LOCATE -> PROVE trace workflow. [1/3] SURVEY xauusd_excel_feature_state_trace what happened, bar by bar [2/3] LOCATE session_filter_funnel_probe where does it die, and what would change it [3/3] PROVE crt_episode_number_trace exactly which numbers produced that Method and discipline: scripts/analysis/CRT_TRACE_WORKFLOW.md Read-only. No src/, no config, no ACTIVE_VERSION.",READ-ONLY,,data/XAUUSD_M15_20260807_203705.xlsx; config_layer.production_config,,CRT; XAUUSD,2026-08-13T18:23:14+05:30,
scripts/analysis/run_gaussian_xauusd_2m.py,run_gaussian_xauusd_2m.py,analysis,run_gaussian_xauusd_2m.py ======================== OBSERVATION ONLY — run trained Gaussian NB checkpoints on XAUUSD trailing 2 months. Data window (matches export_xauusd_window DEFAULT_MONTHS=2 / named export): trailing 2 calendar months of Phase-1 frozen corpus data/mt5/XAUUSD_M15.csv named slice file: data/XAUUSD_W2026-03-23-to-2026-05-21.csv No XAUUSD-trained Gaussian exists in models/gaussian_registry.json. This scores the registry-active BNB/ETH (and optional EUR) checkpoints cross-instrument.,frozen; No economic,Authority: research/docs; No economic claim,data/mt5/XAUUSD_M15.csv; data/XAUUSD_W2026-03-23-to-2026-05-21.csv,results/gaussian_xauusd_2m/gaussian_xauusd_2m_manifest_<ts>.json; results/gaussian_xauusd_2m/gaussian_xauusd_2m_LATEST.json; results/gaussian_xauusd_2m/gaussian_scores_xauusd_2m_<ts>.csv,Phase-1; p10; XAUUSD,2026-07-23T00:37:24+05:30,
scripts/analysis/run_msip_shadow.py,run_msip_shadow.py,analysis,Batch MSIP shadow runner (OBSERVATION_ONLY). Reads frozen OHLCV → FeaturePipeline → MarketStateVector JSONL. Optional CRT co-run is observation-only (separate object graph; never feeds CRT).,frozen; shadow,,,,shadow; CRT; MSIP; msip,2026-07-14T16:31:56+05:30,
scripts/analysis/run_rr_xauusd_2m.py,run_rr_xauusd_2m.py,analysis,"run_rr_xauusd_2m.py =================== OBSERVATION ONLY — run the trained RR (NanoInference / rr_fusion checkpoint) on XAUUSD trailing 2 months (same window as Gaussian + ZoneGate runs). Also records the LIVE base RREngine (candle polarity) for dual-path parity with the Gaussian ML vs heuristic recording pattern. Trained artifact: models/rr_model.json (== models/rr_model_202605_bnb_v2.json byte-identical) registry active: 202605_bnb_v2_bnbusdt n_features=38, schema v3.0, quarantined under v4 (incompatible_with_schema=4.0) Live spine truth: engine_runner.rr_fusion.enabled=false (F-038) → tr...",No economic; parity,Authority: research/docs; No economic claim,data/XAUUSD_W2026-03-23-to-2026-05-21.csv,models/rr_model.json; results/rr_xauusd_2m/rr_xauusd_2m_manifest_<ts>.json; results/rr_xauusd_2m/rr_xauusd_2m_LATEST.json; results/rr_xauusd_2m/rr_scores_xauusd_2m_<ts>.csv,XAUUSD,2026-07-23T00:51:07+05:30,
scripts/analysis/run_zonegate_xauusd_2m.py,run_zonegate_xauusd_2m.py,analysis,run_zonegate_xauusd_2m.py ======================== OBSERVATION ONLY — run the production ZoneGate trained registry on XAUUSD trailing 2 months (same window as run_gaussian_xauusd_2m.py). Data window: trailing 2 calendar months of Phase-1 frozen corpus data/mt5/XAUUSD_M15.csv named slice: data/XAUUSD_W2026-03-23-to-2026-05-21.csv Trained artifact (production active): models/zone_registry_v4_2026_07.json zone_gate_registry active = v4_gaussian_runtime_2026_07 Scoring path = production EngineRunner path: get_zone_gate → score_zone_cluster (cluster knobs from engine_runner) Outputs (results/ — ...,frozen; No economic,Authority: research/docs; No economic claim,data/mt5/XAUUSD_M15.csv; data/XAUUSD_W2026-03-23-to-2026-05-21.csv; results/zonegate_xauusd_2m/zonegate_xauusd_2m_manifest_<ts>.json; results/zonegate_xauusd_2m/zonegate_xauusd_2m_LATEST.json; results/zonegate_xauusd_2m/zonegate_scores_xauusd_2m_<ts>.csv,results/zonegate_xauusd_2m/zonegate_xauusd_2m_manifest_<ts>.json; results/zonegate_xauusd_2m/zonegate_xauusd_2m_LATEST.json; results/zonegate_xauusd_2m/zonegate_scores_xauusd_2m_<ts>.csv,Phase-1; p10; XAUUSD,2026-07-23T00:43:52+05:30,
scripts/analysis/semantic_layer_validation.py,semantic_layer_validation.py,analysis,"semantic_layer_validation.py ============================= Read-only STATISTICS ENGINE for the seven-day semantic-layer validation study (XAUUSD M15). Runs the STANDARD production path -- `FeaturePipeline.run()` INCLUDING `finalize()` -- over the complete dataset, slices a window of N consecutive trading days, and emits per-feature statistics, categorical transition/run-length tables, a mechanical contradiction scan, co-occurrence tables, and RULE-SELECTED representative examples. This script MEASURES.",READ-ONLY,,,,XAUUSD,2026-08-01T11:53:45+05:30,
