Asset,Confidence,Reason
INV-055 Documentation Corpus,HIGH,README 4-tier map + CLAUDE.md companion table. Internally many sub-corpora; grouped on purpose.
INV-056 Findings + Closure Index,HIGH,Always-loaded CLAUDE.md tables + enforcing tests.
INV-057 MT5 Analytics,HIGH,architecture.md + conventions.md + tree + tests/mt5_analytics/. Not opened module-by-module.
INV-058 OSS Lab,HIGH,README + OSS_INTEGRATION_ARCHITECTURE.md + test_oss_lab.py.
INV-059 TradingView Forensic Tools,HIGH,README + F-079/F-080.
INV-060 Multi-LLM Coordination Layer,HIGH,multi_llm/README + CLAUDE.md §13 + src/multi_llm.
INV-061 Grok Session Layer,HIGH,.grok/rules/GROK.md auto-load + INFRA/HOW_INDEX/PENDING.
INV-062 Git Hooks + CI,HIGH,hooks/README + .github/workflows listing.
INV-063 UI Kits,HIGH,ui_kits/control_plane/README.md stubbed-backend statement.
INV-064 Manual Tools,MEDIUM,conventions.md placement rule; trade_generator.py not opened.
INV-065 Archive,HIGH,Directory listing only — sufficient for 'not live'.
INV-066 Reports Tree,MEDIUM,Tree exists; per-report authority UNKNOWN.
INV-067 Flow Graphs + Code Maps,HIGH,Generated-docs row in entry-exit-map + flow_context/runtime.json opened.
INV-068 Portable Mind,HIGH,CLAUDE.md Compile trigger + build_context.py + test_context_compiler.py.
INV-069 Knowledge Book PDFs,MEDIUM,Directory listing + docs/book/README as the living source.
INV-070 Packaging / Environment,HIGH,pyproject.toml + README + Dockerfile seen. venv excluded from product.
INV-071 active_models.yaml,HIGH,CLAUDE.md machine-readable sources + dedicated test.
INV-072 Goal Layer (G001),HIGH,goal-layer topic + goal_schema.py + tests.
INV-073 Feature Store,HIGH,feature_store.py + architecture.md + F-085.
INV-074 Model Registry,HIGH,entry-exit-map + governance-memory.
INV-075 Collector,HIGH,entry-exit-map + architecture.md §3.1.
INV-076 Execution Planner,HIGH,execution-planning topic + signal-flow.
INV-077 Ultron Risk Gate,HIGH,ultron-risk-gate topic + F-048 + service-boundary S4.
INV-078 Functionality / GCMC Inventories,HIGH,HOW_INDEX + CLOSURE_KPI. This workbook is a different grain.
INV-079 Session Logs,HIGH,CLAUDE.md §6 + files on disk + tests.
INV-080 Experimental Specs + ZONE-X docs,MEDIUM,Files exist; runtime load UNKNOWN; charts forbids ZONE-X import.
