FEATURE_NAME,DAG_LAYER,DAG_LAYER_NAME,CANONICAL_INDEX,IN_CANONICAL_VECTOR,FORMULA_ID,CURRENT_LEDGER_STATE,CURRENT_DEPENDENCIES,DIRECT_DAG_CONSUMERS,SUPERSESSION_STATUS,D1_IDENTITY,D2_FORMULA,D3_DEPENDENCY,D4_PIT,D5_EVIDENCE,D6_PROVENANCE,D7_PRODUCER,D8_CONSUMER,D9_PRODUCTION_BINDING,D10_ACTIVATION_READINESS,D11_DEBT,D12_FINAL_COMPLETION,DEBT_IDS
total_wick,0,L0_candle_primitive,,False,FM-005,PROMOTED_PRODUCTION,lower_wick|upper_wick,,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,NO_CONSUMERS,BOUND_COMPONENT_ONLY,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
wick_size,0,L0_candle_primitive,27,True,FM-002,PROMOTED_PRODUCTION,high|low,body_ratio|displacement_atr_ratio|volatility_ratio,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
ema_fast,1,L1_rolling_indicator,7,True,FM-043,PROMOTED_PRODUCTION,close,ema_spread|ema_spread_atr|retest_depth|trend_bias,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
ema_slow,1,L1_rolling_indicator,8,True,FM-044,PROMOTED_PRODUCTION,close,ema_spread|ema_spread_atr|trend_bias,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
macd_line,1,L1_rolling_indicator,16,True,,PROMOTED_PRODUCTION,close,macd_hist|macd_signal,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_VALID_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|UNTRACKED_ARTIFACT_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-015
macd_signal,1,L1_rolling_indicator,17,True,,PROMOTED_PRODUCTION,macd_line,macd_hist,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_VALID_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|UNTRACKED_ARTIFACT_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-015
rsi_14,1,L1_rolling_indicator,15,True,FM-042,PROMOTED_PRODUCTION,close,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
swing_high,1,L1_rolling_indicator,22,True,FM-045,PROMOTED_PRODUCTION,high,break_of_structure|higher_high|liquidity_distance|liquidity_sweep,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
swing_low,1,L1_rolling_indicator,23,True,FM-046,PROMOTED_PRODUCTION,low,break_of_structure|liquidity_distance|liquidity_sweep|lower_low,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
atr,1,L1_rolling_indicator,13,True,FM-041,PROMOTED_PRODUCTION,true_range,disp_strength|disp_strength_atr_rescale|displacement_atr_ratio|ema_spread|ema_spread_atr|liquidity_distance|momentum_score|momentum_score_atr|retest_depth|volatility_ratio,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
macd_hist,2,L2_direct_derived,18,True,,PROMOTED_PRODUCTION,macd_line|macd_signal,,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_VALID_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|UNTRACKED_ARTIFACT_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-015
trend_bias,2,L2_direct_derived,10,True,FM-TRB,PROMOTED_PRODUCTION,ema_fast|ema_slow,,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
disp_strength,2,L2_direct_derived,32,True,FM-020,PROMOTED_PRODUCTION,atr|body_size|close,disp_strength_atr_rescale,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
disp_strength_atr_rescale,2,L2_direct_derived,,False,FM-029,PROMOTED_PRODUCTION,atr|disp_strength,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,NO_CONSUMERS,UNBOUND,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|PRODUCTION_BINDING_DEBT|UNBOUND_CONSUMER_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
ema_spread,2,L2_direct_derived,9,True,FM-022,SUPERSEDED,atr|ema_fast|ema_slow,,SUPERSEDED_BY=ema_spread_atr(FM-030),SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SEMANTIC_COLLISION,BOUND_CANONICAL_VECTOR,SUPERSEDED,SUPERSEDED_CLOSED|SUPERSEDED_STILL_BOUND_DEBT,SUPERSEDED_CLOSED,DEBT-007|DEBT-019
ema_spread_atr,2,L2_direct_derived,,False,FM-030,PROMOTED_PRODUCTION,atr|close|ema_fast|ema_slow,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,NO_CONSUMERS,UNBOUND,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|PRODUCTION_BINDING_DEBT|UNBOUND_CONSUMER_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
momentum_score,2,L2_direct_derived,12,True,FM-023,SUPERSEDED,atr|close,,SUPERSEDED_BY=momentum_score_atr(FM-031),SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SUPERSEDED,SEMANTIC_COLLISION,BOUND_CANONICAL_VECTOR,SUPERSEDED,SUPERSEDED_CLOSED|SUPERSEDED_STILL_BOUND_DEBT,SUPERSEDED_CLOSED,DEBT-007|DEBT-019
momentum_score_atr,2,L2_direct_derived,,False,FM-031,PROMOTED_PRODUCTION,atr|close,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,NO_CONSUMERS,UNBOUND,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|PRODUCTION_BINDING_DEBT|UNBOUND_CONSUMER_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-005|DEBT-008|DEBT-010|DEBT-014|DEBT-017
volume_ratio,2,L2_direct_derived,5,True,FM-VOLR,PROMOTED_PRODUCTION,volume,volume_spike,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
volume_spike,2,L2_direct_derived,37,True,FM-VOLS,PROMOTED_PRODUCTION,volume_ratio,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
body_ratio,2,L2_direct_derived,28,True,FM-010,PROMOTED_PRODUCTION,body_size|wick_size,,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
displacement_atr_ratio,2,L2_direct_derived,,False,FM-028,PROMOTED_PRODUCTION,atr|wick_size,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_PRODUCTION_NONCANONICAL,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|NONCANONICAL_PRODUCTION_BINDING|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-013|DEBT-014
volatility_ratio,2,L2_direct_derived,14,True,FM-024,PROMOTED_PRODUCTION,atr|close|wick_size,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
displacement_retrace,3,L3_structural_event,,False,FM-027,PROMOTED_PRODUCTION,close|open,,ACTIVE,ROLE_LABEL_GROUNDING_ALIGNED,PASS_ROLE_GROUNDED,PASS_ROLE_GROUNDED,PASS_DIRECT,BOUND_VALID_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_PRODUCTION_NONCANONICAL,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|UNTRACKED_ARTIFACT_DEBT|ROLE_LABEL_GROUNDING_DOCUMENTED|NONCANONICAL_PRODUCTION_BINDING|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-010|DEBT-012|DEBT-013|DEBT-014|DEBT-015
higher_high,3,L3_structural_event,24,True,,PROMOTED_PRODUCTION,swing_high,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_HASH_MISMATCH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|HASH_MISMATCH_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-016
break_of_structure,3,L3_structural_event,21,True,,PROMOTED_PRODUCTION,swing_high|swing_low,liquidity_distance,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_HASH_MISMATCH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|HASH_MISMATCH_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-016
liquidity_sweep,3,L3_structural_event,20,True,,PROMOTED_PRODUCTION,swing_high|swing_low,candles_since_retest|double_sweep|retest_depth|sweep_detected,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_HASH_MISMATCH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|HASH_MISMATCH_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-016
candles_since_retest,3,L3_structural_event,34,True,,PROMOTED_PRODUCTION,liquidity_sweep,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-005|DEBT-006|DEBT-009|DEBT-010|DEBT-014
double_sweep,3,L3_structural_event,6,True,,PROMOTED_PRODUCTION,liquidity_sweep,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-005|DEBT-006|DEBT-009|DEBT-010|DEBT-014
lower_low,3,L3_structural_event,25,True,,PROMOTED_PRODUCTION,swing_low,,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_HASH_MISMATCH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,PROVENANCE_DEBT|HASH_MISMATCH_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-006|DEBT-009|DEBT-010|DEBT-014|DEBT-016
sweep_detected,3,L3_structural_event,19,True,,PROMOTED_PRODUCTION,liquidity_sweep,,ACTIVE,ALIGNED,PASS,PASS,TRIVIAL_SAME_BAR,BOUND_EMPTY_HASH,HASH_BOUND_UNTRACKED,PASS_SINGLE_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,READY_WITH_DOCUMENTED_NONBLOCKING_DEBT,EMPTY_SHA_HISTORY|PROVENANCE_DEBT|ONTOLOGY_REGISTRATION_DEBT|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_MULTIPLE_DEBTS,DEBT-004|DEBT-005|DEBT-006|DEBT-009|DEBT-010|DEBT-014
liquidity_distance,3,L3_structural_event,35,True,FM-025,PROMOTED_PRODUCTION,atr|break_of_structure|close|swing_high|swing_low,liquidity_pressure_score,ACTIVE,ALIGNED,PASS,PASS,PASS_DIRECT,BOUND_REMEDIATED_UNRESOLVED,UNRESOLVED_REMEDIATED,PASS_COMPOSITION_AUTHORITY,PASS,BOUND_CANONICAL_VECTOR,BLOCKED_PROVENANCE,PROVENANCE_DEBT|EMPTY_SHA_HISTORY|L6_PENDING|ACTIVATION_EVIDENCE_DEBT,PROMOTED_BUT_PROVENANCE_DEBT,DEBT-004|DEBT-005|DEBT-010|DEBT-014
