ID,Name,Category,Location,Purpose,Inputs,Outputs,Dependencies,Used By,Authority,Status,Evidence,Architecture Layer,Notes
INV-011,Runtime Harnesses (Backtest + Live Hook),Runtime,src/runtime/,"Exercise the spine over historical candles (BacktestRunner) or a live tick (HookedLiveEngine.process). Baseline capture, unified replay.",CSV M15 OHLCV + BacktestConfig + ACTIVE production version; live: one candle + features,"results/…/{instrument}_trades.csv, _summary.json, _events.jsonl; baseline manifests; live orders only if bridges invoked",FeaturePipeline; EngineRunner (when engine_gate_enabled); CRT; ExecutionPlanner; UltronRiskGate; dataset_integrity L3 on backtest paths only (F-039),CLI backtest.v2; agent backtest.run_v2 / live_hook.dry_run; ConfigValidator,Primary proof surface. No lookahead. Live production loop largely uncalled.,PRESENT — backtest is the exercised entry; live process() NO-CALLER (entry-exit-map / F-073),docs/memory/runtime-memory.md; docs/architecture/entry-exit-map.md; src/runtime/backtest_v2.py (~13 .py),RUNTIME (architecture-memory.md §1),engine_gate_enabled is a required config key (F-058).
INV-012,Data Ingestion + Integrity,Ingestion,src/data_ingestion/,"OHLCV schema, historical fetch, clock detection/registry, L3 dataset integrity, session autoderive.",External OHLCV sources / on-disk CSV,Validated candle streams; clock registry records; integrity pass/fail,"UNKNOWN beyond package modules (ohlcv_schema, dataset_integrity, historical_fetcher, clock_*)",BacktestRunner L3 preflight (two call sites); other stream() consumers are L1/L2 only (F-039),"L3 adds confidence, not validity. Inline L1/L2 always-on.",PRESENT,docs/architecture/architecture-memory.md §2.10; src/data_ingestion/ (~8 .py); F-039; F-066 clock,Adjacent (architecture-memory.md §2.10),configs/data_provenance/ohlcv_clock_registry.json is a sibling config surface.
INV-013,Inout Candle Fetchers,Ingestion,src/inout/ (fetchers; live_rail is INV-014),MT5 / AlphaVantage / Hummingbot / perp-funding fetchers writing OHLCV toward CSV.,Broker/API live or historical requests,OHLCV CSV under data/ (documented intent),UNKNOWN — fetcher/feed details thin (entry-exit-map DRIFT-DOC),Data corpus; research fetch scripts under scripts/data/,Data seeding. Not the live order path.,PRESENT,docs/architecture/entry-exit-map.md; docs/architecture/architecture-memory.md §2.10; src/inout/*.py,Adjacent (architecture-memory.md §2.10),src/inout/runner.py archived — control-plane live.inout_runner is broken per entry-exit-map.
INV-014,Live Rail,Execution / live,src/inout/live_rail/ + scripts/live/run_live_rail.py,"PR-1 live-rail contracts: bar builder, venue adapters (Binance WS, LongPort, TickDB), replay port, resilience.",Ticks / closed bars / LiveRailConfig,ClosedBar / NormalizedTick types. Paper CLI exists.,"Documented: unwired — no HookedLiveEngine caller, no orders (package docstring).",scripts/live/run_live_rail.py --paper (paper callers cited in F-073). Production: none.,No production live execution rail. Grants no live-order authority.,BUILT / UNWIRED — F-073 OPEN; ACTIVE_VERSION has no live_rail key,src/inout/live_rail/__init__.py; F-073; tests/test_live_rail_*.py,EXECUTION / LIVE (architecture-memory.md §1),Paper TickDB CLI recorded: exit=0 closed_bars=80 process_calls=0 (2× FeatureStore FEATURE_REJECT).
INV-015,Live Bridges (MT5 + Telegram),Execution / live,src/live/,"Broker order send/close and Telegram alerts (signal, kill-switch, daily summary). Order manager present.",Approved sized plan; Telegram bot config; MT5 terminal,MetaTrader 5 orders (dry-run-gated); Telegram messages,live_integration / inout config sections; Ultron/kill-switch state,LiveEngineHook when bridges invoked — production loop uncalled,"Reachable in code, not driven live today (F-010, F-013, F-073).",PRESENT — NO production caller loop,docs/architecture/entry-exit-map.md; docs/topics/live-execution.md; src/live/mt5_bridge.py; telegram_bridge.py (~4 .py),EXECUTION / LIVE (architecture-memory.md §1),
INV-016,Execution Loop + Alerts + Override,Execution / live,src/execution/,Continuous tick loop: scan → rank → regime → allocate → gate → alert → override. Human-in-loop by default.,"Injected scanner, ranker, pool, regime_clf, allocator, risk_gate, alert_manager, override_handler, trade_executor",UNKNOWN at this inventory pass beyond loop state (pause/running/positions/signals) and alerts,Documented design depends on scanner/portfolio/regime — live path uses single-candle spine instead (F-013),UNKNOWN — F-013: scan→allocate→ExecutionLoop BUILT but ORPHANED,No production authority via this loop today.,BUILT / ORPHANED (F-013),src/execution/loop.py; F-013; tests/test_execution_loop.py; docs/architecture/architecture-memory.md §2.10,Adjacent (architecture-memory.md §2.10),Do not treat as the live candle path. That path is LiveEngineHook (uncalled).
INV-017,Scanner / Signal Pool,Execution / live,src/scanner/,Universe scan → signal pool → spine adapter. MultiSymbolScanner calls an injected engine_runner per symbol.,Universe of symbols + data_fetcher + engine_runner callable,Signals with action/confidence/rr/zone,Designed to call EngineRunner; live does not run this (F-013),ExecutionLoop (designed); live spine does not consume it,"Built, orphaned. No live consumption.",BUILT / ORPHANED (F-013),src/scanner/scanner.py; docs/architecture/architecture-memory.md §2.10; F-013 (~6 .py),Adjacent (architecture-memory.md §2.10),
INV-018,Portfolio Allocator,Execution / live,src/portfolio/,Exposure + correlation + capital policy → per-trade allocation. Ultron remains final authority (allocator docstring).,Engine signal dict,allocation action/risk or REJECT,"exposure_tracker, correlation_engine, capital_policy",Designed to sit before Ultron; live often single-candle spine (F-013),No demonstrated G001. Built; live often unused.,BUILT / partly orphaned (F-013),src/portfolio/allocator.py; docs/architecture/architecture-memory.md §2.10; F-013 (~6 .py),Adjacent (architecture-memory.md §2.10),scripts/portfolio/replay_allocator.py is a CLI sibling.
INV-019,Strategies (S01–S10),Strategies,src/strategies/,S01–S10 wrappers + orchestrator/registry. Portfolio path partly orphaned.,UNKNOWN (not loaded this pass beyond package role),UNKNOWN,UNKNOWN,UNKNOWN — portfolio path partly orphaned (F-013),UNKNOWN,PRESENT ON DISK (~18 .py),docs/architecture/architecture-memory.md §2.10; src/strategies/,Adjacent (architecture-memory.md §2.10),"Sense A: S1–S10 dormant consensus, not one named strategy (.grok/INFRA.md structure.name). Do not infer they are the CRT spine."
INV-020,BitNet Package,Scoring / gate,src/bitnet/,"BitNet inference, zone cosine search, registry, composition, contract-C trainer. Hard-reject gate when enabled.",CRT feature dict (legacy subset); models/ artifacts; crt_engine.bitnet_main_threshold,"bitnet_main_score ∈ [0,1]; ACCEPT/REJECT branch in CRT when use_bitnet true",models/; crt_engine config,CRT engine when use_bitnet enabled; otherwise unused at runtime,Hard-reject gate WHEN enabled. use_bitnet:false on active patch → INERT (F-004). Enabling existing gate did not improve spine (F-055).,INERT on active config (F-004),docs/topics/bitnet-gate.md; docs/architecture/architecture-memory.md §2.10; src/bitnet/ (~23 .py); F-004/F-055,Adjacent (architecture-memory.md §2.10),Not TradeNet. architecture.md still cites a GGUF path; verify models/ on disk before claiming the file is present.
INV-021,Training Kitchen,Training,src/training/ + scripts/training/,"Train pipeline, TradeNet v2, Phase-5 calibration, Gaussian update, stage1 datasets. Scripts are thin CLIs.",Datasets / log paths / model_fn,Model artifacts under models/ after Phase-5 gate + registry promote paths,features.dataset_validator; core.model_registry; phase5_calibration,ModelRegistry; PromotionManager (models); governance kitchen,Async feeder. Does not sit on the candle hot path. Phase-5 calibration is a gate before registration.,PRESENT,src/training/train_pipeline.py; docs/architecture/architecture-memory.md §2.10 and §4.10; scripts/training/ (~8 src + scripts/training),Adjacent (architecture-memory.md §2.10),"F-060: audited trainer (train_pipeline) built none of the on-disk gaussian artifacts — builder of record is phase5_calibration.py, labels from F-022 stream."
INV-022,Research Platform,Research,src/research/,Edge-discovery / hypothesis pipeline plus model_runners observation of production engines. Must not import PromotionManager or ConfigValidator.,OHLCV corpus; measurement contracts; hypothesis modules; production engines (observation path only),"Metrics, holdout reports, evidence parquet/JSON; MC-* result artifacts under docs/research-readiness/",Candle/CandleLoader/forward_walk primitives; live engines on model_runners path; research.costs; measurement schema,scripts/research/*; measurement_result_log; findings (when a conclusion flips),Research only. May observe production engines. Must never promote. Authority Ladder applies.,PRESENT — largest src package (~175 .py),src/research/__init__.py; docs/architecture/architecture-memory.md §2.10; tests/test_runtime_boundary.py,Adjacent (architecture-memory.md §2.10),"Subtrees include evidence/, measurement/, mother_range/, visual_crt/, weekly_sweep/, oracle/, episodes/, hypotheses/, model_runners/, clean_labels/."
INV-023,Research Measurement Contracts,Research / governance,configs/research/measurement_contracts/ + docs/governance/MEASUREMENT_CONTRACT.md + src/governance/measurement_result_log.py,Frozen per-experiment measurement basis (population/features/labels/costs/exits/splits/metrics) so research claims are comparable.,Schema + MP-* profiles + MC-* instance JSON,Sealed instance files; measurement_result_log.jsonl lines; holdout artifacts,docs/governance/measurement_contract.schema.json; research_family_registry.json,Research drivers that declare an MC-*; test_measurement_contract.py; findings Contract: field,Admissibility of research claims. Layer status OPEN in closure index. economic_claims_allowed false on sealed XAUUSD objects cited in F-090–F-094.,"OPEN — instances exist on disk (10 under instances/, 1 draft, 1 extra JSON); closure index still OPEN; topic doc still says 0 sealed (DOC_DRIFT vs disk)",configs/research/measurement_contracts/; docs/governance/MEASUREMENT_CONTRACT.md; docs/topics/research-measurement-contract.md; CLAUDE.md Closure Index,UNKNOWN,Do not treat presence of MC-*.json as E-MT-00/E-MT-01 pass. mt00/mt01 UNRUN on F-090–F-094.
INV-024,Interpreters,Research / ontology,src/interpreters/,"Ontology interpreters (point-and-figure, regime observer / MarkovRegimeForecaster).",UNKNOWN beyond module roles (P&F; RegimeLabeler S_t for Markov),"Interpreter scores / regime forecasts (F-028, F-043)",UNKNOWN,Research programs (F-028 P&F REJECT; F-043 Markov REGIME_REDUNDANT),Research only. F-028 FROZEN pending new ontology.,PRESENT (~6 .py),docs/architecture/architecture-memory.md §2.10; F-028; F-043; src/interpreters/,Adjacent (architecture-memory.md §2.10),
INV-025,Replay Memory,Sidecar,src/replay/,Similarity index / drift governor / timing reconstructor. Institutional memory over opportunity JSONL.,Historical opportunity JSONL; cluster assignment,Similarity answers; drift audit (fail-open),UNKNOWN beyond package; consumed by CognitiveBus and ReplayDriftGovernor (module docstring),CognitiveBus._process; ReplayDriftGovernor.audit (after scanner — scanner orphaned),"Sidecar-only, zero spine consumption (F-012).",SIDECAR (F-012),src/replay/replay_memory_engine.py; F-012; docs/architecture/architecture-memory.md §2.10 (~6 .py),Adjacent (architecture-memory.md §2.10),F-012 groups ReplayMemory / CognitiveBus / Cluster / HMF as sidecar.
INV-026,Cognitive Bus,Sidecar,src/cognitive/,Async bus: DecisionSnapshot → ReplayMemory → MarketStateCluster → TradeNetMeta → HierarchicalMetaFusion → cognitive_telemetry JSONL. Never returns to execution plane.,"DecisionSnapshot events from EngineRunner (emit, non-blocking)",logs/cognitive_telemetry.jsonl only,"replay, regime cluster engine, tradenet meta, HMF — fail-open",None on the execution plane (HARD RULE in module),Write-only telemetry. Zero spine consumption (F-012).,SIDECAR (F-012),src/cognitive/cognitive_bus.py; F-012 (~2 .py),Adjacent (architecture-memory.md §2.10),
INV-027,Event Fabric,Telemetry,src/events/,"Canonical envelope for cross-component events (event_id, generation, type, instrument, source, schema_hash, parent, payload).",EventType + payload from emitting services,Enveloped JSONL streams (per-channel),features.feature_schema.FEATURE_ORDER_HASH,Documented as fan-out from all services; some streams still bypass (service-boundary-map S7),Observability. Telemetry must not import back into the spine.,PRESENT — backbone incomplete (trade writers not all enveloped — Trd-M1),src/events/event_fabric.py; docs/topics/event-fabric.md; docs/architecture/service-boundary-map.md S7; entry-exit-map,TELEMETRY (architecture-memory.md §1),
INV-028,Trade Journal,Telemetry,src/journal/,Trade identity / provenance / execution-link logging. TradeLogger writes trade_journal.jsonl and should also route through Collector.,TradeRecord,logs/trade_journal.jsonl; intended dual-write to logs/collector.jsonl,core.collector (optional import guard),Analytics / offline feedback (documented intent),Audit. Not a profit ledger (F-022: opportunities.jsonl is a detection stream).,PRESENT,src/journal/trade_logger.py; docs/architecture/entry-exit-map.md; docs/reference/schemas.md §9 (~6 .py),TELEMETRY (architecture-memory.md §1),
INV-029,Expansion Engine,Search / kitchen,src/expansion/,"Bounded deterministic parameter-expansion explorer (mutator, evaluator, policy schema, LLM pattern extractor).",Policy / current config; optional LLM suggestions (from feedback),Candidate mutations; logs/expansion_trace.jsonl; expansion_rejected,UNKNOWN beyond package; governance.expansion_integration exists,Governance expansion_integration; AI feedback suggestions (docstring: starting point only),Bounded search. Human approval required before param change (feedback hard rule).,PRESENT,docs/reference/architecture.md directory tree; src/expansion/ (~6 .py),Adjacent (architecture-memory.md §2.10),architecture.md lists it; architecture-memory §2.10 lists it. Not on candle hot path.
INV-030,Analytics,Analytics,src/analytics/,"Metrics oracle, clustering, performance, SL/TP comparator.",UNKNOWN — sl_tp_comparator imports runtime.backtest_v2 (documented upward violation),UNKNOWN (comparison reports / metrics),runtime.backtest_v2 (service-boundary-map upward violation),UNKNOWN,Research/diagnostics. No promotion authority.,PRESENT (~5 .py),docs/architecture/service-boundary-map.md; docs/architecture/architecture-memory.md §2.10; src/analytics/,Adjacent (architecture-memory.md §2.10),sl_tp_comparator.py:589 cited as importing BacktestRunner directly.
INV-031,Retrieval / RAG,Agent support,src/retrieval/,RAG corpus / chunking / embedding / vector store for agent context.,UNKNOWN (corpus paths),UNKNOWN (retrieved chunks),UNKNOWN,Agent context (architecture-memory role); UNKNOWN which live call sites fire today,Advisory context. Not execution authority.,PRESENT (~9 .py),docs/architecture/architecture-memory.md §2.10; src/retrieval/,Adjacent (architecture-memory.md §2.10),scripts/rag_index.py is a related CLI. Wiring completeness UNKNOWN this pass.
INV-032,LLM Advisory Client,Advisory,src/config_layer/llm_inference_client.py + llm_scorer.py + llm_narrative.py + src/engines/llm_engine.py,Local llama.cpp with Groq fallback; circuit-open returns neutral 1.0. Fusion tie-breaker in uncertainty band only.,"Score/narrative/intent requests; llama_gate / llm_chat config; GROQ_API_KEY (optional, do not read .env)",Advisory score or text; never a capital gate,HTTP to local llama.cpp; Groq API on fallback,FusionEngine uncertainty band; agent intent classification / arg fill,Advisory only. Never execution authority. Fail-open.,PRESENT — fail-open circuit breaker,docs/architecture/service-boundary-map.md S8; docs/architecture/llm-governance-layer.md; docs/reference/architecture.md §5,UNKNOWN,Not listed as its own layer in architecture-memory §1 (LLM is dotted). Mapped UNKNOWN rather than inventing an LLM layer.
INV-033,LLM Research Pipeline,Research,src/llm_research/,Offline pattern extraction → policy.json → PolicyBuilder deterministic code → ForwardTester → Evaluator. LLM never used during forward test.,historical_data.csv,policy.json; forward-test comparison (baseline / LLM policy / hybrid),UNKNOWN,UNKNOWN,Offline research. LLM frozen before test.,PRESENT (~5 .py),src/llm_research/__init__.py,UNKNOWN,Not in architecture-memory §2.10 table (adjacent list omits it). Exists on disk.
INV-034,AI Feedback,Advisory,src/feedback/,Offline LLM feedback on trade-journal analytics. Suggestions only; min 30 trades; feed ExpansionEngine as starting point; human approval required.,Performance summary + loss clusters from journal analytics,JSON suggestions (not auto-applied),Trade journal analytics,"ExpansionEngine (documented as starting point, not auto-apply)",Suggestions only.,PRESENT (~2 .py),src/feedback/ai_feedback.py,UNKNOWN,Not in architecture-memory §2.10.
INV-035,Regime Classifier + Config Router,Sidecar / regime,src/regime/,Deterministic regime detection (TRENDING/RANGING/HIGH_VOLATILITY) with cooldown; market_state_cluster_engine; config_router.,"features dict (atr, trend_score documented as required)",regime label string,UNKNOWN whether production fusion uses this package vs engine_runner detect_regime,ExecutionLoop design (orphaned); CognitiveBus uses MarketStateClusterEngine (F-012 sidecar group),UNKNOWN whether this package is on the live decision path. Do not assume it is fusion's regime.,PRESENT (~4 .py) — live consumption UNKNOWN,src/regime/regime_classifier.py; docs/architecture/architecture-memory.md does not list src/regime/ in §2.10,UNKNOWN,F-061 discusses detect_regime in another module degenerating on crypto. That is not proof this package is unused — marked UNKNOWN.
INV-036,Regime Weight Searcher,Search / kitchen,src/search/regime_weight_searcher.py,LLM-guided per-regime search for fusion weights + BitNet threshold. Follows expansion-engine patterns.,UNKNOWN (fusion engine + search loop),UNKNOWN (candidate weights / audit logs),core.fusion_engine (import in module),UNKNOWN,Search only. Immutable configs / fail-safe fallbacks claimed in docstring — not verified here.,PRESENT (1 .py),src/search/regime_weight_searcher.py,UNKNOWN,
INV-037,Structural Predicates,Features / geometry,src/structure/predicates.py,HOW-COMPUTATION for SP-001/SP-002 (sweep / directional impulse). Meaning lives in ontology structural_predicates; this file must conform.,OHLC + reference level,Booleans,configs/formulas/market_ontology.yaml definition; features.registry.predicate_registry,CRT construction sites that call these functions (nine former copies unified),"Mechanism, not policy. Not configurable. Not eval'd.",PRESENT,src/structure/predicates.py; tests/test_predicate_definition_binding.py,UNKNOWN,Demoted from semantic authority 2026-08-19 (RC-5). Ontology is WHAT.
INV-038,MSIP Shadow,Observation,src/msip/,"Shadow continuous market-state vector. OBSERVATION_ONLY. Does not influence CRT state, events, trades, or execution.",CRT phase observation + provenance context + MsipShadowConfig,JSONL shadow emission,interpretation_config; isolation module,UNKNOWN (shadow emitter only),G-IMPL-01 OPEN narrow shadow. SHADOW_AFFECTS_CRT/EXECUTION/EVENTS = False.,PRESENT — observation only,src/msip/__init__.py; tests/test_msip_shadow_*.py (~6 .py),UNKNOWN,
INV-039,Charts (corpus OHLC renderer),Tooling / evidence,src/charts/ + scripts/analysis/render_chart.py,INFRA-CPC-V1 Workstream A0: own OHLC charts from the corpus (Layer V0 bars + V1 CRTState colour + export pack).,Corpus OHLC + CRTState,Chart export pack (A0),Must not import ZONE-X (Z-AC1),UNKNOWN beyond render_chart.py CLI,Charting of consumed corpus. A1/A2/B/C out of scope.,PRESENT — A0 only,src/charts/__init__.py; docs/governance/INFRA_CHART_PAPER_COMPARE_V1.md; tests/test_chart_series.py,UNKNOWN,Not architecture of the trading spine.
INV-040,Identity Store,Governance / storage,src/identity/,Phase 4 writers/readers for frozen L0–L5 layer identities. Load is Identity Check only. Recompute from HEAD is not recovery.,Identity records (L0–L5 payloads + hashes),CheckResult PRESERVED|UNIDENTIFIED|MISMATCH|INCOMPLETE|UNJOINABLE; query/replay handles,CANONICAL_LAYER_IDENTITY_CONTRACT; STORAGE_PRESERVATION_CONTRACT; PHYSICAL_STORAGE_ARCHITECTURE (all CLOSED/FROZEN v1.0.0),UNKNOWN on live spine (explicitly not on live decision path),Identity preservation. No G001. Not live-spine wiring.,PRESENT — Phase 4 code; Phase 3 architecture CLOSED,src/identity/__init__.py; docs/governance/PHYSICAL_STORAGE_ARCHITECTURE.md; tests/test_identity_store.py (~8 .py),UNKNOWN,"Closure index: Canonical layer identity CLOSED; Storage preservation CLOSED; Physical storage CLOSED. This package is the Phase 4 implementation, not a reopen."
